********************************************************************************
Field Output Report, written Wed Oct 28 16:02:05 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/PressureSteps/PressureJob.odb
   Step: Step-Pressure
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1          @Loc 1
---------------------------------------------------------------------------------
            9042         11.5141    -125.801E-03         11.5127    -125.146E-03
            9043         11.5396    -124.527E-03         11.5382    -127.665E-03
            9044         11.5405    -125.161E-03         11.5392    -127.413E-03
            9045         11.4335    -114.760E-03         11.4322    -132.920E-03
            9046         11.2893    -134.541E-03         11.2878    -119.471E-03
            9047         11.4969    -127.041E-03         11.4956    -120.383E-03
            9048         11.2761    -134.769E-03         11.2746    -117.907E-03
            9049         11.4483    -115.280E-03         11.4469    -134.103E-03
            9050         11.5094    -125.429E-03         11.5081    -125.739E-03
            9051         11.2915    -134.309E-03         11.2901    -118.396E-03
            9052         11.2983    -134.155E-03         11.2969    -119.020E-03
            9053         11.5560    -123.438E-03         11.5546    -132.652E-03
            9054         11.5120    -125.429E-03         11.5106    -126.689E-03
            9055         11.4420    -115.221E-03         11.4406    -133.350E-03
            9056         11.5522    -123.413E-03         11.5507    -132.795E-03
            9057         11.5128    -125.945E-03         11.5114    -124.077E-03
            9058         11.2937    -134.129E-03         11.2923    -117.707E-03
            9059         11.4402    -115.530E-03         11.4388    -132.594E-03
            9060         11.5548    -123.000E-03         11.5534    -133.456E-03
            9061         11.4567    -115.401E-03         11.4554    -135.025E-03
            9062         11.4439    -119.520E-03         11.4426    -125.890E-03
            9063         11.5071    -128.833E-03         11.5057    -126.717E-03
            9064         11.4999    -129.817E-03         11.4984    -129.697E-03
            9065         11.4994    -130.234E-03         11.4979    -132.008E-03
            9066         11.5370    -130.900E-03         11.5354    -138.034E-03
            9067         11.5452    -129.680E-03         11.5437    -133.886E-03
            9068         11.5404    -130.310E-03         11.5389    -135.792E-03
            9069         11.5410    -130.864E-03         11.5395    -138.726E-03
            9070         11.5091    -129.802E-03         11.5076    -130.718E-03
            9071         11.5137    -129.213E-03         11.5122    -128.739E-03
            9072         11.5503    -130.695E-03         11.5487    -137.833E-03
            9073         11.5578    -129.611E-03         11.5563    -134.858E-03
            9074         11.4336    -119.256E-03         11.4323    -124.293E-03
            9075         11.4960    -130.207E-03         11.4945    -131.347E-03
            9076         11.2863    -139.419E-03         11.2846    -139.300E-03
            9077         11.2762    -139.197E-03         11.2745    -137.728E-03
            9078         11.4481    -120.061E-03         11.4467    -125.485E-03
            9079         11.5507    -129.172E-03         11.5492    -132.579E-03
            9080         11.5095    -128.462E-03         11.5081    -125.849E-03
            9081         11.2944    -138.715E-03         11.2927    -138.191E-03
