********************************************************************************
Field Output Report, written Wed Nov 11 14:22:08 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/80kPaNonLinear/80kPaNonLinear.odb
   Step: Step-Pressure
   Frame: Increment      8: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude
                          @Loc 1
---------------------------------
           16808         35.2202
           16814         35.2561
           16815         35.2018
           16887         35.4496
           16894         35.4446
           16897         35.4361
           16898         35.4383
           16899         35.3314
           16903         35.3229
           16904         35.3282
           16905         35.3107
           16907         35.3160
           16916         35.2940
           16928         35.0563
           16929         35.0317
           16930         35.1117
           16931         35.4406
           16939         35.4533
           16955         35.4339
           16957         35.4362
           16958         35.4460
           16960         35.4303
           17048         35.2041
           17049         35.1750
           17106         35.2085
           17110         35.1851
           17113         35.1872
           17137         35.3358
           17140         35.3744
           17145         35.3860
           17147         35.3748
           17155         35.3912
           17164         35.3552
           17179         34.7428
           17181         34.7985
           17183         34.8110
           17185         34.8233
           17186         34.7332
           17210         35.0396
           17244         35.4179
           17245         35.4117
           17246         35.4256
           17255         35.3773
           17265         35.3965
           17266         35.4152
           17360         35.3546
           17364         35.3203
           17365         35.3430
           17368         35.2584
           17370         35.2871
           17372         35.3256
           17373         35.3007
           17375         35.1249
           17438         34.9095
           17439         34.8838
           17441         34.9308
           17446         35.1293
           17509         34.6828
           17517         34.8104
           17521         34.7966
           17522         34.7442
           17528         35.1491
           17531         35.0786
           17533         35.1537
           17534         35.1202
           17535         35.0837
           17609         35.3878
           17610         35.3951
           17613         35.3454
           17659         35.1305
           17660         35.0533
           17728         35.3496
           17737         35.3105
           17739         35.3412
           17740         35.3381
           17773         35.3001
           17788         35.2686
           17823         35.1387
           17825         35.1462
           17835         35.1499
           17849         35.4242
           17992         35.2018
           17993         35.2387
           18006         35.0400
           18009         35.0929
           18012         34.9452
           18013         35.0447
           18014         35.0717
           18141         35.3482
           18143         35.3549
           18144         35.3588
           18151         35.3647
           18152         35.3247
           18161         34.8217
           18167         34.8415
           18168         34.8012
           18170         34.8202
           18175         34.7889
           18188         35.3261
           18189         35.3421
           18191         35.3193
           18195         35.3815
           18196         35.4001
           18198         35.3504
           18222         34.6586
           18225         34.7177
           18227         34.6714
           18228         35.3836
           18229         35.3712
           18233         35.3648
           18234         35.3339
           18240         35.3939
           18241         35.4057
           18262         35.3747
           18264         35.3709
           18313         34.9024
           18314         34.9535
           18315         34.9175
           18326         35.0516
           18328         35.0788
           18338         35.0776
           18345         35.2609
           18385         34.9731
           18389         35.0156
           18531         35.1623
           18533         35.1511
           18534         35.1080
           18535         35.0724
           18538         35.1438
           18539         35.1365
           18544         35.3429
           18559         35.3067
           18560         35.2751
           18691         34.8557
           18785         35.1577
           18788         35.1867
           18789         35.1154
           18829         34.7609
           18831         34.7857
           18834         34.8220
           18835         34.7917
           18913         35.2423
           18914         35.1833
           18915         35.2162
           18988         34.7087
           19103         35.0298
           19108         35.0507
           19109         35.0984
           19111         34.9943
           19115         35.0040
           19121         35.0902
           19312         34.9023
           19313         34.9305
           19325         34.8678
           19326         34.8586
           19363         34.8357
           19523         34.8115
           19526         34.7933
           19527         34.7463
           19624         34.7563
           19625         34.7183
           19628         34.5195
           19629         34.5479
           19630         34.5641
           19807         34.4826
           19808         34.4663
           19829         35.2061
           19903         35.2182
           19904         35.2068
           19905         35.2476
           19942         35.1284
           20043         35.2386
           20044         35.2090
           20119         35.3638
           20120         35.3605
           20300         35.3981
           20301         35.4178
           20358         35.4690
           20560         35.4421
           20561         35.4298
           20562         35.4412
           20563         35.4320
           20578         35.3416
